meanstd_percent,method,month,profit_increment_k20_percent
8,Self-scheduling,202503,105.6532242426
8,Self-scheduling,202504,121.2431682688
8,Self-scheduling,202505,106.4809263247
8,Self-scheduling,202506,84.8269085872
8,Self-scheduling,202507,109.5428794855
8,Self-scheduling,202508,98.2670128683
8,Self-scheduling,202509,102.3175312507
8,Self-scheduling,202510,92.5782435385
8,Self-scheduling,202511,90.2333819753
8,Self-scheduling,202512,99.0413092510
10,Bidding,202301,125.3408754545
10,Bidding,202302,103.5713081930
10,Bidding,202303,134.7326471036
10,Bidding,202304,129.3655064454
10,Bidding,202305,112.4639475883
10,Bidding,202306,138.0406405111
10,Bidding,202307,78.2374745272
10,Bidding,202308,150.4859411746
10,Bidding,202309,135.0500143561
10,Bidding,202310,103.7859525418
10,Bidding,202311,90.2748646112
10,Bidding,202312,102.0747334043
10,Bidding,202401,183.3959120133
10,Bidding,202402,131.0776077480
10,Bidding,202403,126.2275361812
10,Bidding,202404,107.6085192307
10,Bidding,202405,112.9428598263
10,Bidding,202406,110.0357947658
10,Bidding,202407,79.8898314939
10,Bidding,202408,127.8449936593
10,Bidding,202409,108.9357699720
10,Bidding,202410,101.6276227039
10,Bidding,202411,80.2802826974
10,Bidding,202412,91.1156117948
10,Bidding,202501,99.2240391050
10,Bidding,202502,71.0748676480
10,Bidding,202503,107.1224174328
10,Bidding,202504,122.2705614092
10,Bidding,202505,107.6868141967
10,Bidding,202506,88.2313843436
10,Bidding,202507,116.3837560896
10,Bidding,202508,110.5177358683
10,Bidding,202509,107.6571662514
10,Bidding,202510,96.9691614502
10,Bidding,202511,108.0495422051
10,Bidding,202512,107.1110830724
10,Self-scheduling,202301,110.1602050915
10,Self-scheduling,202302,94.4204737396
10,Self-scheduling,202303,129.1763570949
10,Self-scheduling,202304,126.1012468687
10,Self-scheduling,202305,112.9200011890
10,Self-scheduling,202306,135.1362514802
10,Self-scheduling,202307,72.3734774437
10,Self-scheduling,202308,138.6555437437
10,Self-scheduling,202309,123.5507205758
10,Self-scheduling,202310,97.0140415462
10,Self-scheduling,202311,80.9894724669
10,Self-scheduling,202312,84.6881354582
10,Self-scheduling,202401,169.2759882523
10,Self-scheduling,202402,125.4982535323
10,Self-scheduling,202403,124.6124174443
10,Self-scheduling,202404,105.7420471314
10,Self-scheduling,202405,111.8381650678
10,Self-scheduling,202406,107.0397426606
10,Self-scheduling,202407,73.3058765851
10,Self-scheduling,202408,112.3079729918
10,Self-scheduling,202409,102.4397158205
10,Self-scheduling,202410,91.2039748494
10,Self-scheduling,202411,73.1012672392
10,Self-scheduling,202412,73.4992410596
10,Self-scheduling,202501,92.0646787927
10,Self-scheduling,202502,67.1541673922
10,Self-scheduling,202503,104.7546948336
10,Self-scheduling,202504,119.9786301118
10,Self-scheduling,202505,104.2283476018
10,Self-scheduling,202506,82.4598849971
10,Self-scheduling,202507,101.7025364044
10,Self-scheduling,202508,92.6896726614
10,Self-scheduling,202509,99.1580429225
10,Self-scheduling,202510,90.9021837879
10,Self-scheduling,202511,78.8414530938
10,Self-scheduling,202512,90.1965797568
