STARTTIME,STOPTIME,STARTTIME_GMT,STOPTIME_GMT,STARTDATE,MARKET_RUN_ID,RESOURCE_TYPE,SCHEDULINGCOORDINATOR_SEQ,RESOURCEBID_SEQ,TIMEINTERVALSTART,TIMEINTERVALEND,TIMEINTERVALSTART_GMT,TIMEINTERVALEND_GMT,PRODUCTBID_DESC,PRODUCTBID_MRID,MARKETPRODUCT_DESC,MARKETPRODUCTTYPE,GHG_AREA,SELFSCHEDMW,SCH_BID_TIMEINTERVALSTART,SCH_BID_TIMEINTERVALSTOP,SCH_BID_TIMEINTERVALSTART_GMT,SCH_BID_TIMEINTERVALSTOP_GMT,SCH_BID_XAXISDATA,SCH_BID_Y1AXISDATA,SCH_BID_Y2AXISDATA,SCH_BID_CURVETYPE,MINEOHSTATEOFCHARGE,MAXEOHSTATEOFCHARGE
2025-04-08T01:00:00,2025-04-08T02:00:00,2025-04-08T08:00:00-00:00,2025-04-08T09:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,187496,704706,,,,,,,,EN,,,2025-04-08T01:00:00,2025-04-08T02:00:00,2025-04-08T08:00:00-00:00,2025-04-08T09:00:00-00:00,39.9,43.66,,BIDPRICE,,
2025-04-08T01:00:00,2025-04-08T02:00:00,2025-04-08T08:00:00-00:00,2025-04-08T09:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,187496,704706,,,,,,,,EN,,,2025-04-08T01:00:00,2025-04-08T02:00:00,2025-04-08T08:00:00-00:00,2025-04-08T09:00:00-00:00,40,43.66,,BIDPRICE,,
2025-04-08T02:00:00,2025-04-08T03:00:00,2025-04-08T09:00:00-00:00,2025-04-08T10:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,187496,704706,,,,,,,,EN,,,2025-04-08T02:00:00,2025-04-08T03:00:00,2025-04-08T09:00:00-00:00,2025-04-08T10:00:00-00:00,-39.97,-17.63,,BIDPRICE,,
2025-04-08T02:00:00,2025-04-08T03:00:00,2025-04-08T09:00:00-00:00,2025-04-08T10:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,187496,704706,,,,,,,,EN,,,2025-04-08T02:00:00,2025-04-08T03:00:00,2025-04-08T09:00:00-00:00,2025-04-08T10:00:00-00:00,-0.01,-17.61,,BIDPRICE,,
2025-04-08T02:00:00,2025-04-08T03:00:00,2025-04-08T09:00:00-00:00,2025-04-08T10:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,187496,704706,,,,,,,,EN,,,2025-04-08T02:00:00,2025-04-08T03:00:00,2025-04-08T09:00:00-00:00,2025-04-08T10:00:00-00:00,0,33.91,,BIDPRICE,,
2025-04-08T02:00:00,2025-04-08T03:00:00,2025-04-08T09:00:00-00:00,2025-04-08T10:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,187496,704706,,,,,,,,EN,,,2025-04-08T02:00:00,2025-04-08T03:00:00,2025-04-08T09:00:00-00:00,2025-04-08T10:00:00-00:00,39.9,43.91,,BIDPRICE,,
2025-04-08T02:00:00,2025-04-08T03:00:00,2025-04-08T09:00:00-00:00,2025-04-08T10:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,187496,704706,,,,,,,,EN,,,2025-04-08T02:00:00,2025-04-08T03:00:00,2025-04-08T09:00:00-00:00,2025-04-08T10:00:00-00:00,40,43.91,,BIDPRICE,,
2025-04-08T03:00:00,2025-04-08T04:00:00,2025-04-08T10:00:00-00:00,2025-04-08T11:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,187496,704706,,,,,,,,EN,,,2025-04-08T03:00:00,2025-04-08T04:00:00,2025-04-08T10:00:00-00:00,2025-04-08T11:00:00-00:00,-39.97,-17.63,,BIDPRICE,,
2025-04-08T03:00:00,2025-04-08T04:00:00,2025-04-08T10:00:00-00:00,2025-04-08T11:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,187496,704706,,,,,,,,EN,,,2025-04-08T03:00:00,2025-04-08T04:00:00,2025-04-08T10:00:00-00:00,2025-04-08T11:00:00-00:00,-39.82,-17.62,,BIDPRICE,,
2025-04-08T03:00:00,2025-04-08T04:00:00,2025-04-08T10:00:00-00:00,2025-04-08T11:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,187496,704706,,,,,,,,EN,,,2025-04-08T03:00:00,2025-04-08T04:00:00,2025-04-08T10:00:00-00:00,2025-04-08T11:00:00-00:00,-0.01,-17.61,,BIDPRICE,,
2025-04-08T03:00:00,2025-04-08T04:00:00,2025-04-08T10:00:00-00:00,2025-04-08T11:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,187496,704706,,,,,,,,EN,,,2025-04-08T03:00:00,2025-04-08T04:00:00,2025-04-08T10:00:00-00:00,2025-04-08T11:00:00-00:00,0,33.09,,BIDPRICE,,
2025-04-08T03:00:00,2025-04-08T04:00:00,2025-04-08T10:00:00-00:00,2025-04-08T11:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,187496,704706,,,,,,,,EN,,,2025-04-08T03:00:00,2025-04-08T04:00:00,2025-04-08T10:00:00-00:00,2025-04-08T11:00:00-00:00,39.9,43.09,,BIDPRICE,,
2025-04-08T03:00:00,2025-04-08T04:00:00,2025-04-08T10:00:00-00:00,2025-04-08T11:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,187496,704706,,,,,,,,EN,,,2025-04-08T03:00:00,2025-04-08T04:00:00,2025-04-08T10:00:00-00:00,2025-04-08T11:00:00-00:00,40,43.09,,BIDPRICE,,
2025-04-08T04:00:00,2025-04-08T05:00:00,2025-04-08T11:00:00-00:00,2025-04-08T12:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,187496,704706,,,,,,,,EN,,,2025-04-08T04:00:00,2025-04-08T05:00:00,2025-04-08T11:00:00-00:00,2025-04-08T12:00:00-00:00,-39.97,-17.63,,BIDPRICE,,
2025-04-08T04:00:00,2025-04-08T05:00:00,2025-04-08T11:00:00-00:00,2025-04-08T12:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,187496,704706,,,,,,,,EN,,,2025-04-08T04:00:00,2025-04-08T05:00:00,2025-04-08T11:00:00-00:00,2025-04-08T12:00:00-00:00,-39.82,-17.62,,BIDPRICE,,
2025-04-08T04:00:00,2025-04-08T05:00:00,2025-04-08T11:00:00-00:00,2025-04-08T12:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,187496,704706,,,,,,,,EN,,,2025-04-08T04:00:00,2025-04-08T05:00:00,2025-04-08T11:00:00-00:00,2025-04-08T12:00:00-00:00,-0.01,-17.61,,BIDPRICE,,
2025-04-08T04:00:00,2025-04-08T05:00:00,2025-04-08T11:00:00-00:00,2025-04-08T12:00:00-00:00,2025-04-08 00:00:00.0,DAM,GENERATOR,187496,704706,,,,,,,,EN,,,2025-04-08T04:00:00,2025-04-08T05:00:00,2025-04-08T11:00:00-00:00,2025-04-08T12:00:00-00:00,0,37.63,,BIDPRICE,,
