year_month,k,total_profit,total_profit_actual,total_cost,total_cost_actual,total_cost_withoutESS,total_carbon,total_carbon_actual,total_carbon_withoutESS,total_absorbed,total_natural_gas,rate_gas,carbon_reduce,rate_carbon,skipped_gas_dates
202408,0.2,16562708.150713068,13086763.979376107,110843172.2153816,112967154.17417274,128070535.27602114,1856347.7749621535,1891752.398222377,2144961.2792365435,57298.466666666674,6994172.916666667,0.008192314852572217,35404.62326022354,0.008216548856484552,20240829
202409,0.2,21092572.88020767,17202228.096280105,84397849.38547891,86550788.5595432,102890129.61312167,1565558.8831162537,1605520.5480872504,1907694.904256838,76635.17726666668,6048555.916666666,0.012669995668800895,39961.66497099679,0.00980032093659187,20240924
202410,0.2,29661214.04744919,24539490.796053745,122821284.85374671,125849750.84354211,151195048.00615743,1740248.3486270008,1782827.5939748578,2140441.9322357397,95435.46666666669,6899512.083333334,0.01383220516378302,42579.24534785701,0.010163709917416438,
202411,0.2,29429143.589429002,25182705.105451927,74618691.09857537,76622243.2368986,99915796.18831952,1095564.874932073,1124797.113137051,1464676.4900610251,50448.80000000002,5187782.666666666,0.00972453998972458,29232.23820497794,0.008073183219648145,
202412,0.2,17559933.33869218,14686745.181778748,113186523.40132178,113917112.00491697,134189524.9718893,1466626.0958294214,1476141.0526829206,1737260.2904818163,12463.100000000006,5743103.75,0.00217009835491828,9514.95685349917,0.0022435343066444314,
202501,0.2,36072359.06201718,29899782.03574772,111432258.06914029,116447591.15149236,149793970.84706998,1132805.1396956067,1183661.9880355475,1520881.5441684532,75618.90000000001,5412148.833333334,0.013972065870447699,50856.84833994089,0.013911677954431871,
202502,0.2,46628511.55389079,40709704.91735693,73667432.74413931,77279522.88565981,106986134.24791177,801587.8710711697,840837.5365566437,1163115.4122779337,99330.39923333336,3972084.083333333,0.025007124005787987,39249.66548547393,0.015446425142943294,
202503,0.2,58240826.27531361,47850883.27972215,27824930.174656585,31011808.077000715,61601221.429138914,315977.8087350365,352202.12037695374,698021.5762175457,164306.9833333334,2570938.1666666665,0.06390934852640372,36224.311641917215,0.0154955898828311,20250309
202504,0.2,53013414.016751714,42544988.655126594,18202838.639359653,21074114.606961463,55063391.24055437,239126.56408446238,276835.0331151397,722186.3587169661,170102.2333333334,2359955.666666667,0.07207857153248784,37708.46903067731,0.020053490819886523,
202505,0.2,41466670.2694921,34019536.59162278,23467483.403983302,26615731.84081175,56663102.70760351,342971.43738170445,388989.8694694807,826921.6147275592,166713.76656666672,2891837.666666667,0.05764976661322507,46018.43208777625,0.023444931061365137,
202506,0.2,33779781.836133935,28597952.3115555,37524490.053792424,39975178.289042905,79560230.18578804,492581.77541694103,524749.8039287059,1043099.233630461,120515.84343333336,3470164.916666667,0.03472914006320401,32168.02851176483,0.0140013122657201,
202507,0.2,22855251.520988602,18343578.061016563,62528015.37555722,65666896.33028836,110364628.68898992,799935.5423761527,840054.3997318277,1412324.244263598,111348.76603333333,4759219.583333334,0.02339643382357769,40118.85735567496,0.014767133308367245,
202508,0.2,23686658.54063406,19227176.0526923,138344213.64753985,141328433.1817979,174108833.9896359,1921684.4164374894,1962995.9322851957,2418536.6568553667,95165.78333333335,7234479.583333332,0.01315447534782939,41311.515847706236,0.010369732342330764,
202509,0.2,30375545.19049365,24810164.951072842,120086023.55161522,123430199.84732941,176491688.7326457,1585888.1041979406,1629966.2261026935,2330508.7293402823,112433.7479666667,6450879.583333333,0.017429212018955302,44078.121904752916,0.010429902976982736,
202510,0.2,39888866.21098686,33204678.176826864,76482192.65690361,79934519.34106036,120026569.5084566,1022586.4597526627,1068373.1546950357,1601429.9377229165,121469.03160000005,5239655.416666667,0.023182637395127693,45786.69494237297,0.012672095007169043,
202511,0.2,19304383.781326067,15645385.786447939,84313105.36386776,84486690.09451649,113706593.0365507,1096098.947035287,1098554.77261936,1473598.5423794433,19243.450000000004,5444254.666666666,0.0035346344317471324,2455.8255840728525,0.0006628489659662106,
202512,0.2,15437624.956132872,12519693.342745144,67301896.91869733,67340650.11836638,101914427.37399094,723534.6302595887,723938.8106036265,1093869.4832194685,19704.916666666675,4325171.833333333,0.004555869090518988,404.18034403782804,9.622291297435511e-05,
