year_month,k,total_profit,total_profit_actual,total_cost,total_cost_actual,total_cost_withoutESS,total_absorbed,total_natural_gas,rate_gas,carbon_reduce,rate_carbon,skipped_gas_dates
202404,0.2,40846702.52867245,33956310.241284624,16522492.264071569,18397793.63359023,32105764.961927038,167183.9758666667,2706581.666666667,0.061769418571642344,75550.85665408635,0.039398620566464364,
202405,0.2,40753761.00366826,34082664.795323536,14445479.233602969,15510891.160634657,29810804.627969682,190711.63503333338,2338303.0,0.08155984704862175,86183.06465065094,0.05224031811576766,
202406,0.2,25823175.495839633,21533762.325828765,37086795.05968045,38483025.31866008,55320412.345210046,113239.1352666667,3661462.0,0.030927300424438843,51173.04832484484,0.019271781886087268,20240627
202407,0.2,31816786.310509752,27999191.19316587,175156131.6179877,176516801.70377478,199196803.87567955,44602.03333333333,8725403.583333332,0.005111744449108243,20155.770368416666,0.004316600375831348,
202408,0.2,16320058.88790281,13191417.322319265,111143909.9417368,112967154.17417274,128070535.27602114,52465.88333333334,6994172.916666667,0.007501370635019688,23709.463843041667,0.0055023878264585675,20240829
202409,0.2,20421067.425641835,17298591.981494702,84696649.41363467,86550788.5595432,102890129.61312167,71762.56666666668,6048555.916666666,0.011864413201327357,32429.683283083337,0.007953154711569502,20240924
202410,0.2,28193360.744205326,24539490.796053745,122957694.77257746,125849750.84354211,151195048.00615743,95448.76666666668,6899512.083333334,0.013834132836325563,43133.536278583335,0.01029601973605536,
202411,0.2,28266283.62214901,25225359.773166034,75127396.87538159,76622243.2368986,99915796.18831952,42868.991366666676,5187782.666666666,0.008263451675050899,19372.604371075086,0.005350209020355227,
202412,0.2,16803031.962851442,14807147.740218423,113566950.17971124,113917112.00491697,134189524.9718893,10421.833333333338,5743103.75,0.001814669173151075,4709.652537916669,0.001110490273774102,
202501,0.2,32770582.756250266,29913216.412720088,113798713.41513322,116447591.15149236,149793970.84706998,49527.81666666668,5412148.833333334,0.009151229611725695,22381.74417120834,0.00612243241828648,
202502,0.2,44104638.7257424,40771931.62759,74882257.90336217,77279522.88565981,106986134.24791177,79407.10483333336,3972084.083333333,0.019991295039931713,35884.26919194543,0.0141219975005328,
202503,0.2,54943420.44816031,47866795.358111985,28635890.314326752,31011808.077000715,61601221.429138914,138433.8815333334,2570938.1666666665,0.053845667440854464,62558.61714961719,0.026760554750356786,20250309
202504,0.2,51701189.77375596,42621070.024146974,17860894.1406787,21074114.606961463,55063391.24055437,210220.00863333337,2359955.666666667,0.08907794820156933,94998.94745142493,0.05052076017899827,
202505,0.2,40825407.08583412,34060166.517474025,23658217.64630121,26615731.84081175,56663102.70760351,169576.39163333335,2891837.666666667,0.05863966487053849,76631.99532008242,0.03904157021141584,
202506,0.2,34185118.39908323,28582784.442320455,37746494.93697655,39975178.289042905,78635803.67513387,135072.74913333333,3470164.916666667,0.03892401438461894,61039.71301522617,0.02656787257644821,
202507,0.2,23042451.915630165,18500820.95860435,62966578.204305544,65666896.33028836,110364628.68898992,110367.4578,4759219.583333334,0.023190242826051574,49875.3300984645,0.018358340613573425,
202508,0.2,22889813.836923476,19391354.987744354,139104956.6112582,141328433.1817979,174108833.9896359,85200.53333333334,7234479.583333332,0.01177700929996635,38502.33401466667,0.009664590855464315,
202509,0.2,29530730.416373227,24944552.001846064,120424240.74978119,123430199.84732941,176491688.7326457,113092.88690000001,6450879.583333333,0.017531390167658662,51106.95832232726,0.012093088219647948,
202510,0.2,38611276.40980683,33296678.831203498,77064743.82749002,79934519.34106036,120026569.5084566,117819.65443333337,5239655.416666667,0.022486145569528156,53242.99638755943,0.014735728567844601,
202511,0.2,17774090.134738665,15679636.565720418,85149209.67839932,84486690.09451649,113706593.0365507,11899.53333333334,5444254.666666666,0.002185704758851596,5377.428862166669,0.00145141543599877,
202512,0.2,14238292.805895688,12641328.604508739,68012660.21985905,67340650.11836638,101914427.37399094,11624.716666666673,4325171.833333333,0.0026876889785226662,5253.238523458336,0.0012506345762052994,
