year_month,k,total_profit,total_profit_actual,total_cost,total_cost_actual,total_cost_withoutESS,total_carbon,total_carbon_actual,total_carbon_withoutESS,total_absorbed,total_natural_gas,rate_gas,carbon_reduce,rate_carbon,skipped_gas_dates
202405,0.2,41814900.095367074,34062957.18272228,37358694.55049426,40262327.94651552,47083418.39192991,686394.2452532069,739810.3088110151,865033.9682748409,176888.66130000004,2338303.0,0.07564830618615297,53416.06355780817,0.07220237799018468,
202406,0.2,26296124.997901756,21480449.397126574,69548790.17469966,71416055.79599802,78225814.06624949,1207566.8248884447,1240282.4768985992,1359015.6538028833,107459.38856666669,3661462.0,0.029348765210909383,32715.652010154445,0.02637758141351952,20240627
202407,0.2,32668508.68405471,27999191.19316587,201500394.54870456,202543543.23401868,209085693.90047246,3128876.7108361465,3145108.320220385,3246568.7363180644,47826.23333333334,8725403.583333332,0.005481263173280343,16231.60938423872,0.005160906312791584,
202408,0.2,16562987.763565712,13086763.979376107,146424302.91928616,147372809.53367525,150537939.7462638,2453957.2376533644,2469889.470780322,2523361.719771085,57525.50000000001,6994172.916666667,0.00822477520721863,15932.233126957435,0.006450585467666252,20240829
202409,0.2,21095861.799344353,17202228.096280105,113711037.46805234,115059792.10904314,120363208.24730177,2111379.0748025905,2136943.7219122015,2235260.0963535025,76950.17726666668,6048555.916666666,0.012722074215207652,25564.64710961096,0.011963182206190692,20240924
202410,0.2,29674197.60463995,24539490.796053745,168810568.8554248,170792626.04283068,174392578.13195348,2389456.936731448,2417586.537462982,2469513.9861424803,96540.30980000002,6899512.083333334,0.013992338680470704,28129.600731533952,0.011635405928862091,
202411,0.2,29436564.900066093,25182705.105451927,120422056.08848988,121366730.39332253,126645043.25314581,1762453.343794484,1776461.0488144069,1854003.0292391377,50452.80000000002,5187782.666666666,0.009725311032047865,14007.705019922927,0.007885174307239404,
202412,0.2,17586017.724468354,14686745.181778748,152836419.91924062,152910914.14428642,156005690.30236536,1975998.6473042653,1976763.448757752,2018002.2349668364,12527.100000000006,5743103.75,0.0021812421549932833,764.8014534867834,0.00038689578865260985,
202501,0.2,36100152.11872314,29899782.03574772,180335492.784883,182765156.38485706,190825396.17999622,1826055.5231213712,1850645.429328646,1931672.1455205712,75599.71236666667,5412148.833333334,0.013968520581150562,24589.90620727488,0.013287205543308908,
202502,0.2,46632654.46951202,40709704.91735693,121331110.70783187,124269373.67806385,135668985.72019002,1316937.5244347742,1348896.5831148047,1473377.4824049042,99375.39933333336,3972084.083333333,0.02501845309627447,31959.058680030517,0.023692741964126154,
202503,0.2,58266179.55673198,47850883.27972215,69055471.09309505,73500777.59269515,91663558.37638389,778112.1418840901,828331.5162511936,1034448.1288745471,165506.9833333334,2570938.1666666665,0.06437610420942967,50219.374367103446,0.06062714430374794,20250309
202504,0.2,53102132.08567873,42544988.655126594,53659244.73485401,57830050.83918653,78426619.86794208,700715.5613673066,755136.6271380475,1024503.5489574408,170448.6833333334,2359955.666666667,0.07222537513769682,54421.06577074085,0.07206784019601273,
202505,0.2,41468992.695717625,34019536.59162278,62583878.10359966,66168938.90488951,84125779.82775627,908987.3196863672,961367.6307846361,1224379.8205918362,166500.8665666667,2891837.666666667,0.05757614560660563,52380.311098268954,0.05448520360053926,
202506,0.2,33771841.51228109,28597952.3115555,87706597.66135159,90476063.5030388,107396120.55332604,1144160.852349177,1180581.2747863412,1405077.1411914204,120812.84343333336,3470164.916666667,0.03481472677367231,36420.422437164234,0.03084956810259041,
202507,0.2,22860171.31553966,18343578.061016563,125251527.74448064,127893856.58845934,140253162.57152143,1599118.6547875442,1632997.521504066,1793834.991554759,111207.96603333333,4759219.583333334,0.023366849141145073,33878.86671652179,0.020746428742474635,
202508,0.2,23757349.328606628,19227176.0526923,182204702.49975762,184415006.093142,193509512.79777652,2533117.596003435,2563750.561068639,2689938.638221031,94409.08006666668,7234479.583333332,0.01304987856820616,30632.965065204073,0.011948496679191536,
202509,0.2,30391012.769373506,24810164.951072842,169613373.12709266,172212898.90025008,190837144.90043262,2238785.9262875044,2273231.476719634,2519231.623885548,112272.7479666667,6450879.583333333,0.01740425418213318,34445.55043212976,0.015152680571639848,
202510,0.2,39903843.15831369,33204678.176826864,133657113.27328539,136464914.97109258,148507229.46363562,1783608.1085260084,1821028.3649878523,1980620.0393995976,121536.78333333337,5239655.416666667,0.023195567965546084,37420.25646184385,0.020548969571977795,
202511,0.2,19319472.617007785,15645385.786447939,145401717.23785836,145656901.64700976,151990003.3179271,1882381.2843380629,1885756.036383808,1967399.8234442035,19250.450000000004,5444254.666666666,0.0035359201908507355,3374.75204574503,0.0017896016136936639,
202512,0.2,15440415.708228469,12519693.342745144,135457209.7670577,135715553.79810846,144907692.65840816,1457352.3084686575,1460398.90581264,1556521.7293773126,20034.616666666676,4325171.833333333,0.004632097275826925,3046.59734398243,0.0020861405276712043,
